text,Word,Sentence #,indexloc
お知らせ SHARE 2019 . 02 . 25 当社 の 子会社 で ある イタンジ 株式会社 （ 本社 ： 東京 都 港 区 、 代表 ： 野口 真平 、 以下 「 イタンジ 」 ） は 、 2 月 25 日 、 不動産 賃貸 管理 ソフト 業界 最大手 の 株式会社 ダンゴ ネット （ 本社 ： 東京 都 国分寺 市 、 代表 取締役 ： 松川 竜也 、 以下 「 ダンゴ ネット 」 ） と 業務 提携 し 、 賃貸 物件 へ の 入居 申し込み における 電子 受付 システム 「 申込 受付 くん 」 と 不動産 管理 会社 向け の 基幹 業務 システム 「 賃貸 名人 」 が 連携 いたし まし た 。 イタンジ が 提供 する 「 申込 受付 くん 」 と ダンゴ ネット の 「 賃貸 名人 」 が 連携 する こと により 、 賃貸 物件 へ の 入居 申し込み の 電子 化 および 賃貸 物件 データ と 顧客 データ の 連動 、 関係 各社 が 管理 する 顧客 ( ユーザー ) の 情報 連携 が 可能 と なり 、 業務 効率 化 が 図れ 、 賃貸借 契約,お知らせ,2,0
,SHARE,2,1
,2019,2,2
,.,2,3
,02,2,4
,.,2,5
,25,2,6
,当社,2,7
,の,2,8
,子会社,2,9
,で,2,10
,ある,2,11
,イタンジ,2,12
,株式会社,2,13
,（,2,14
,本社,2,15
,：,2,16
,東京,2,17
,都,2,18
,港,2,19
,区,2,20
,、,2,21
,代表,2,22
,：,2,23
,野口,2,24
,真平,2,25
,、,2,26
,以下,2,27
,「,2,28
,イタンジ,2,29
,」,2,30
,）,2,31
,は,2,32
,、,2,33
,2,2,34
,月,2,35
,25,2,36
,日,2,37
,、,2,38
,不動産,2,39
,賃貸,2,40
,管理,2,41
,ソフト,2,42
,業界,2,43
,最大手,2,44
,の,2,45
,株式会社,2,46
,ダンゴ,2,47
,ネット,2,48
,（,2,49
,本社,2,50
,：,2,51
,東京,2,52
,都,2,53
,国分寺,2,54
,市,2,55
,、,2,56
,代表,2,57
,取締役,2,58
,：,2,59
,松川,2,60
,竜也,2,61
,、,2,62
,以下,2,63
,「,2,64
,ダンゴ,2,65
,ネット,2,66
,」,2,67
,）,2,68
,と,2,69
,業務,2,70
,提携,2,71
,し,2,72
,、,2,73
,賃貸,2,74
,物件,2,75
,へ,2,76
,の,2,77
,入居,2,78
,申し込み,2,79
,における,2,80
,電子,2,81
,受付,2,82
,システム,2,83
,「,2,84
,申込,2,85
,受付,2,86
,くん,2,87
,」,2,88
,と,2,89
,不動産,2,90
,管理,2,91
,会社,2,92
,向け,2,93
,の,2,94
,基幹,2,95
,業務,2,96
,システム,2,97
,「,2,98
,賃貸,2,99
,名人,2,100
,」,2,101
,が,2,102
,連携,2,103
,いたし,2,104
,まし,2,105
,た,2,106
,。,2,107
,イタンジ,2,108
,が,2,109
,提供,2,110
,する,2,111
,「,2,112
,申込,2,113
,受付,2,114
,くん,2,115
,」,2,116
,と,2,117
,ダンゴ,2,118
,ネット,2,119
,の,2,120
,「,2,121
,賃貸,2,122
,名人,2,123
,」,2,124
,が,2,125
,連携,2,126
,する,2,127
,こと,2,128
,により,2,129
,、,2,130
,賃貸,2,131
,物件,2,132
,へ,2,133
,の,2,134
,入居,2,135
,申し込み,2,136
,の,2,137
,電子,2,138
,化,2,139
,および,2,140
,賃貸,2,141
,物件,2,142
,データ,2,143
,と,2,144
,顧客,2,145
,データ,2,146
,の,2,147
,連動,2,148
,、,2,149
,関係,2,150
,各社,2,151
,が,2,152
,管理,2,153
,する,2,154
,顧客,2,155
,(,2,156
,ユーザー,2,157
,),2,158
,の,2,159
,情報,2,160
,連携,2,161
,が,2,162
,可能,2,163
,と,2,164
,なり,2,165
,、,2,166
,業務,2,167
,効率,2,168
,化,2,169
,が,2,170
,図れ,2,171
,、,2,172
,賃貸借,2,173
,契約,2,174
株式会社 キーウォーカー 代表 取締役 真瀬 正義 東京 都 港 区 麻布台 ２ － ４ － ２ 保科 ビル ４ F 自然 言語 処理 エンジン の 研究 開発 、 ビッグ データ の 収集 ・ 整理 ・ 蓄積 ・ 可視 化 ・ 分析 ソリューション の 提供 2000 年 11 月 社名 代表 者 所在地 事業 内容 設立 URL ビッグ データ 収集 ・ 分析 の 株式会社 キーウォーカー と 資本 業務 提携 キーウォーカー が 有する データ 分析 技術 を 活用 し 、 企業 等 の PR 活動 の 戦略 立案 、 実施 を 行い ます 。 当社 の 持つ PR 事業 の ノウハウ と キーウォーカー の データソリューション 技術 を 活用 し 、 企業 等 の PR 活動 に 貢献 する サービス を 共同 開発 し ます 。 当社 の 持つ PR 事業 の ノウハウ を 活用 し 、 キーウォーカー の 企業 価値 向上 に つながる PR 活動 を 支援 し ます 。 NOWLOADING ニュース ＆ トピックス 2019 . 02 . 26 総合 PR 会社 共同,株式会社,3,0
,キーウォーカー,3,1
,代表,3,2
,取締役,3,3
,真瀬,3,4
,正義,3,5
,東京,3,6
,都,3,7
,港,3,8
,区,3,9
,麻布台,3,10
,２,3,11
,－,3,12
,４,3,13
,－,3,14
,２,3,15
,保科,3,16
,ビル,3,17
,４,3,18
,F,3,19
,自然,3,20
,言語,3,21
,処理,3,22
,エンジン,3,23
,の,3,24
,研究,3,25
,開発,3,26
,、,3,27
,ビッグ,3,28
,データ,3,29
,の,3,30
,収集,3,31
,・,3,32
,整理,3,33
,・,3,34
,蓄積,3,35
,・,3,36
,可視,3,37
,化,3,38
,・,3,39
,分析,3,40
,ソリューション,3,41
,の,3,42
,提供,3,43
,2000,3,44
,年,3,45
,11,3,46
,月,3,47
,社名,3,48
,代表,3,49
,者,3,50
,所在地,3,51
,事業,3,52
,内容,3,53
,設立,3,54
,URL,3,55
,ビッグ,3,56
,データ,3,57
,収集,3,58
,・,3,59
,分析,3,60
,の,3,61
,株式会社,3,62
,キーウォーカー,3,63
,と,3,64
,資本,3,65
,業務,3,66
,提携,3,67
,キーウォーカー,3,68
,が,3,69
,有する,3,70
,データ,3,71
,分析,3,72
,技術,3,73
,を,3,74
,活用,3,75
,し,3,76
,、,3,77
,企業,3,78
,等,3,79
,の,3,80
,PR,3,81
,活動,3,82
,の,3,83
,戦略,3,84
,立案,3,85
,、,3,86
,実施,3,87
,を,3,88
,行い,3,89
,ます,3,90
,。,3,91
,当社,3,92
,の,3,93
,持つ,3,94
,PR,3,95
,事業,3,96
,の,3,97
,ノウハウ,3,98
,と,3,99
,キーウォーカー,3,100
,の,3,101
,データソリューション,3,102
,技術,3,103
,を,3,104
,活用,3,105
,し,3,106
,、,3,107
,企業,3,108
,等,3,109
,の,3,110
,PR,3,111
,活動,3,112
,に,3,113
,貢献,3,114
,する,3,115
,サービス,3,116
,を,3,117
,共同,3,118
,開発,3,119
,し,3,120
,ます,3,121
,。,3,122
,当社,3,123
,の,3,124
,持つ,3,125
,PR,3,126
,事業,3,127
,の,3,128
,ノウハウ,3,129
,を,3,130
,活用,3,131
,し,3,132
,、,3,133
,キーウォーカー,3,134
,の,3,135
,企業,3,136
,価値,3,137
,向上,3,138
,に,3,139
,つながる,3,140
,PR,3,141
,活動,3,142
,を,3,143
,支援,3,144
,し,3,145
,ます,3,146
,。,3,147
,NOWLOADING,3,148
,ニュース,3,149
,＆,3,150
,トピックス,3,151
,2019,3,152
,.,3,153
,02,3,154
,.,3,155
,26,3,156
,総合,3,157
,PR,3,158
,会社,3,159
,共同,3,160
各位 平成 31 年 ２月 15 日 会社 名 株式会社 オリエンタルコンサルタンツホールディングス 代表 者 名 代表 取締役 社長 野崎 秀則 （ ＪＡＳＤＡＱ ・ コード 番号 ２ ４ ９ ８ ） 問合せ 先 取締役 統括 本部 長 森田 信彦 ０ ３ － ６ ３ １ １ － ６ ６ ４ １ ＴＥＬ 株式会社 リサーチアンドソリューション ESRI ジャパン 株式会社 と 業務 提携 GIS 利 活用 を 目的 と し た ビジネス パートナー 契約 を 締結 し まし た 当社 グループ の 事業 会社 で ある 株式会社 リサーチアンドソリューション （ 本社 ： 福岡 県 福岡 市 、 代表 取締役 社長 ： 美濃部 直樹 ） は 、 ESRI ジャパン 株式会社 （ 本社 ： 東京 都 千代田 区 、 代表 取締役 社長 ： 正木 千陽 ） と 業務 提携 を 行い 、 ESRI ジャパン 株式会社 の GIS （ 地理 情報 システム ） 利 活用 を 目的 と し た ビジネス パートナー 契約 を 締結 いたし まし た 。 ESRI ジャパン 株式会社 は 、 G,各位,4,0
,平成,4,1
,31,4,2
,年,4,3
,２月,4,4
,15,4,5
,日,4,6
,会社,4,7
,名,4,8
,株式会社,4,9
,オリエンタルコンサルタンツホールディングス,4,10
,代表,4,11
,者,4,12
,名,4,13
,代表,4,14
,取締役,4,15
,社長,4,16
,野崎,4,17
,秀則,4,18
,（,4,19
,ＪＡＳＤＡＱ,4,20
,・,4,21
,コード,4,22
,番号,4,23
,２,4,24
,４,4,25
,９,4,26
,８,4,27
,）,4,28
,問合せ,4,29
,先,4,30
,取締役,4,31
,統括,4,32
,本部,4,33
,長,4,34
,森田,4,35
,信彦,4,36
,０,4,37
,３,4,38
,－,4,39
,６,4,40
,３,4,41
,１,4,42
,１,4,43
,－,4,44
,６,4,45
,６,4,46
,４,4,47
,１,4,48
,ＴＥＬ,4,49
,株式会社,4,50
,リサーチアンドソリューション,4,51
,ESRI,4,52
,ジャパン,4,53
,株式会社,4,54
,と,4,55
,業務,4,56
,提携,4,57
,GIS,4,58
,利,4,59
,活用,4,60
,を,4,61
,目的,4,62
,と,4,63
,し,4,64
,た,4,65
,ビジネス,4,66
,パートナー,4,67
,契約,4,68
,を,4,69
,締結,4,70
,し,4,71
,まし,4,72
,た,4,73
,当社,4,74
,グループ,4,75
,の,4,76
,事業,4,77
,会社,4,78
,で,4,79
,ある,4,80
,株式会社,4,81
,リサーチアンドソリューション,4,82
,（,4,83
,本社,4,84
,：,4,85
,福岡,4,86
,県,4,87
,福岡,4,88
,市,4,89
,、,4,90
,代表,4,91
,取締役,4,92
,社長,4,93
,：,4,94
,美濃部,4,95
,直樹,4,96
,）,4,97
,は,4,98
,、,4,99
,ESRI,4,100
,ジャパン,4,101
,株式会社,4,102
,（,4,103
,本社,4,104
,：,4,105
,東京,4,106
,都,4,107
,千代田,4,108
,区,4,109
,、,4,110
,代表,4,111
,取締役,4,112
,社長,4,113
,：,4,114
,正木,4,115
,千陽,4,116
,）,4,117
,と,4,118
,業務,4,119
,提携,4,120
,を,4,121
,行い,4,122
,、,4,123
,ESRI,4,124
,ジャパン,4,125
,株式会社,4,126
,の,4,127
,GIS,4,128
,（,4,129
,地理,4,130
,情報,4,131
,システム,4,132
,）,4,133
,利,4,134
,活用,4,135
,を,4,136
,目的,4,137
,と,4,138
,し,4,139
,た,4,140
,ビジネス,4,141
,パートナー,4,142
,契約,4,143
,を,4,144
,締結,4,145
,いたし,4,146
,まし,4,147
,た,4,148
,。,4,149
,ESRI,4,150
,ジャパン,4,151
,株式会社,4,152
,は,4,153
,、,4,154
,G,4,155
"各位 2019 年 ２月 15 日 株式会社 大塚家具 代表 取締役 社長 大塚 久美子 （ ＪＡＳＤＡＱ ・ コード 番号 8186 ） 問い合わせ 先 財務 部長 青木 洋 電話 03 - 5530 - 5522 第三者 割当 による 新 株式 及び 新株 予約 権 の 発行 、 業務 ・ 資本 提携 契約 の 締結 並びに 主要 株主 、 主要 株主 で ある 筆頭 株主 及び その他 の 関係 会社 の 異動 に関する お知らせ 当社 は 、 2019 年 ２月 15 日 開催 の 取締役 会 において 、 株式会社 ハイラインズ （ 以下 「 ハイラインズ 」 と いい ます 。 ） が 営業 者 で ある ハイラインズ 日 中 アライアンス 1 号 匿名 組合 及び ハイラインズ 日 中 アライアンス ２ 号 匿名 組合 （ 以下 、 併せ て 「 本 匿名 組合 」 と いい ます 。 ） 並びに EastmoreGlobal , Ltd を 割当 予定 先 として 、 第三者 割当 の 方法 による 新株 式 の 発行 を 行う こと （ 以下 「 本新 株式 第三者 ",各位,5,0
,2019,5,1
,年,5,2
,２月,5,3
,15,5,4
,日,5,5
,株式会社,5,6
,大塚家具,5,7
,代表,5,8
,取締役,5,9
,社長,5,10
,大塚,5,11
,久美子,5,12
,（,5,13
,ＪＡＳＤＡＱ,5,14
,・,5,15
,コード,5,16
,番号,5,17
,8186,5,18
,）,5,19
,問い合わせ,5,20
,先,5,21
,財務,5,22
,部長,5,23
,青木,5,24
,洋,5,25
,電話,5,26
,03,5,27
,-,5,28
,5530,5,29
,-,5,30
,5522,5,31
,第三者,5,32
,割当,5,33
,による,5,34
,新,5,35
,株式,5,36
,及び,5,37
,新株,5,38
,予約,5,39
,権,5,40
,の,5,41
,発行,5,42
,、,5,43
,業務,5,44
,・,5,45
,資本,5,46
,提携,5,47
,契約,5,48
,の,5,49
,締結,5,50
,並びに,5,51
,主要,5,52
,株主,5,53
,、,5,54
,主要,5,55
,株主,5,56
,で,5,57
,ある,5,58
,筆頭,5,59
,株主,5,60
,及び,5,61
,その他,5,62
,の,5,63
,関係,5,64
,会社,5,65
,の,5,66
,異動,5,67
,に関する,5,68
,お知らせ,5,69
,当社,5,70
,は,5,71
,、,5,72
,2019,5,73
,年,5,74
,２月,5,75
,15,5,76
,日,5,77
,開催,5,78
,の,5,79
,取締役,5,80
,会,5,81
,において,5,82
,、,5,83
,株式会社,5,84
,ハイラインズ,5,85
,（,5,86
,以下,5,87
,「,5,88
,ハイラインズ,5,89
,」,5,90
,と,5,91
,いい,5,92
,ます,5,93
,。,5,94
,）,5,95
,が,5,96
,営業,5,97
,者,5,98
,で,5,99
,ある,5,100
,ハイラインズ,5,101
,日,5,102
,中,5,103
,アライアンス,5,104
,1,5,105
,号,5,106
,匿名,5,107
,組合,5,108
,及び,5,109
,ハイラインズ,5,110
,日,5,111
,中,5,112
,アライアンス,5,113
,２,5,114
,号,5,115
,匿名,5,116
,組合,5,117
,（,5,118
,以下,5,119
,、,5,120
,併せ,5,121
,て,5,122
,「,5,123
,本,5,124
,匿名,5,125
,組合,5,126
,」,5,127
,と,5,128
,いい,5,129
,ます,5,130
,。,5,131
,）,5,132
,並びに,5,133
,EastmoreGlobal,5,134
,",",5,135
,Ltd,5,136
,を,5,137
,割当,5,138
,予定,5,139
,先,5,140
,として,5,141
,、,5,142
,第三者,5,143
,割当,5,144
,の,5,145
,方法,5,146
,による,5,147
,新株,5,148
,式,5,149
,の,5,150
,発行,5,151
,を,5,152
,行う,5,153
,こと,5,154
,（,5,155
,以下,5,156
,「,5,157
,本新,5,158
,株式,5,159
,第三者,5,160
各位 2019 年 2 月 15 日 株式会社 大塚家具 代表 取締役 社長 大塚 久美子 ( ＪＡＳＤＡＱ ・ コード 番号 8186 ) 問い合わせ 先 執行 役員 広報 室長 茅根 泰 仁 電話 03 - 5530 - 5566 業務 提携 に関する 基本 合意 の お知らせ 当社 は 、 株式会社 ヤマダ電機 （ 本社 ： 群馬 県 高崎 市 、 代表 取締役 社長 ： 三嶋 恒夫 、 以下 「 ヤマダ電機 」 という ） と 業務 提携 に関して 基本 合意 を いたし まし た ので お知らせ いたし ます 。 本日 開示 の 「 第三者 割当 による 新 株式 及び 新株 予約 権 の 発行 、 業務 ・ 資本 提携 契約 の 締結 並びに 主要 株主 、 主要 株主 で ある 筆頭 株主 及び その他 の 関係 会社 の 異動 に関する お知らせ 」 も ご 参照 下さい 。 １ . 業務 提携 の 趣旨 ヤマダ電機 は 、 家電 専門 小売 業 として 「 創造 と 挑戦 」 ・ 「 感謝 と 信頼 」 の 経営 理念 の もと 、 絶えず イノベーション を 発揮 ,各位,6,0
,2019,6,1
,年,6,2
,2,6,3
,月,6,4
,15,6,5
,日,6,6
,株式会社,6,7
,大塚家具,6,8
,代表,6,9
,取締役,6,10
,社長,6,11
,大塚,6,12
,久美子,6,13
,(,6,14
,ＪＡＳＤＡＱ,6,15
,・,6,16
,コード,6,17
,番号,6,18
,8186,6,19
,),6,20
,問い合わせ,6,21
,先,6,22
,執行,6,23
,役員,6,24
,広報,6,25
,室長,6,26
,茅根,6,27
,泰,6,28
,仁,6,29
,電話,6,30
,03,6,31
,-,6,32
,5530,6,33
,-,6,34
,5566,6,35
,業務,6,36
,提携,6,37
,に関する,6,38
,基本,6,39
,合意,6,40
,の,6,41
,お知らせ,6,42
,当社,6,43
,は,6,44
,、,6,45
,株式会社,6,46
,ヤマダ電機,6,47
,（,6,48
,本社,6,49
,：,6,50
,群馬,6,51
,県,6,52
,高崎,6,53
,市,6,54
,、,6,55
,代表,6,56
,取締役,6,57
,社長,6,58
,：,6,59
,三嶋,6,60
,恒夫,6,61
,、,6,62
,以下,6,63
,「,6,64
,ヤマダ電機,6,65
,」,6,66
,という,6,67
,）,6,68
,と,6,69
,業務,6,70
,提携,6,71
,に関して,6,72
,基本,6,73
,合意,6,74
,を,6,75
,いたし,6,76
,まし,6,77
,た,6,78
,ので,6,79
,お知らせ,6,80
,いたし,6,81
,ます,6,82
,。,6,83
,本日,6,84
,開示,6,85
,の,6,86
,「,6,87
,第三者,6,88
,割当,6,89
,による,6,90
,新,6,91
,株式,6,92
,及び,6,93
,新株,6,94
,予約,6,95
,権,6,96
,の,6,97
,発行,6,98
,、,6,99
,業務,6,100
,・,6,101
,資本,6,102
,提携,6,103
,契約,6,104
,の,6,105
,締結,6,106
,並びに,6,107
,主要,6,108
,株主,6,109
,、,6,110
,主要,6,111
,株主,6,112
,で,6,113
,ある,6,114
,筆頭,6,115
,株主,6,116
,及び,6,117
,その他,6,118
,の,6,119
,関係,6,120
,会社,6,121
,の,6,122
,異動,6,123
,に関する,6,124
,お知らせ,6,125
,」,6,126
,も,6,127
,ご,6,128
,参照,6,129
,下さい,6,130
,。,6,131
,１,6,132
,.,6,133
,業務,6,134
,提携,6,135
,の,6,136
,趣旨,6,137
,ヤマダ電機,6,138
,は,6,139
,、,6,140
,家電,6,141
,専門,6,142
,小売,6,143
,業,6,144
,として,6,145
,「,6,146
,創造,6,147
,と,6,148
,挑戦,6,149
,」,6,150
,・,6,151
,「,6,152
,感謝,6,153
,と,6,154
,信頼,6,155
,」,6,156
,の,6,157
,経営,6,158
,理念,6,159
,の,6,160
,もと,6,161
,、,6,162
,絶えず,6,163
,イノベーション,6,164
,を,6,165
,発揮,6,166
"/. asset - meta 詳細 に関しまして は 、 2019 年 2 月 15 日 アイサンテクノロジー 株式会社 は 、 損害 保険 ジャパン 日本 興亜 株式会社 、 株式会社 ティアフォー と 、 国内 全域 における 計画 的 かつ 安心 ・ 安全 な 自動 運転 サービス 実証 を 支える インシュアテックソリューション 「 LevelIVDiscovery 」 の 共同 開発 に 向け て 、 2019 年 2 月 15 日 に 業務 提携 契約 を 締結 し た こと を お知らせ いたし ます 。 Copyright © AISANTECHNOLOGYCo ., Ltd . AllRightsReserved . 年別 アーカイブ 各位 2019 年 2 月 15 日 会社 名 アイサンテクノロジー 株式会社 代表 者 名 代表 取締役 社長 加藤 淳 （ JASDAQ コード 番号 4667 ） 問合せ 先 執行 役員 経営 管理 本部 副 本部 長 曽我 泰典 （ Tel 052 － 950 － 7500 ） 国内 全域 の 自動 運転 サービス 実証 向け",/.,7,0
,asset,7,1
,-,7,2
,meta,7,3
,詳細,7,4
,に関しまして,7,5
,は,7,6
,、,7,7
,2019,7,8
,年,7,9
,2,7,10
,月,7,11
,15,7,12
,日,7,13
,アイサンテクノロジー,7,14
,株式会社,7,15
,は,7,16
,、,7,17
,損害,7,18
,保険,7,19
,ジャパン,7,20
,日本,7,21
,興亜,7,22
,株式会社,7,23
,、,7,24
,株式会社,7,25
,ティアフォー,7,26
,と,7,27
,、,7,28
,国内,7,29
,全域,7,30
,における,7,31
,計画,7,32
,的,7,33
,かつ,7,34
,安心,7,35
,・,7,36
,安全,7,37
,な,7,38
,自動,7,39
,運転,7,40
,サービス,7,41
,実証,7,42
,を,7,43
,支える,7,44
,インシュアテックソリューション,7,45
,「,7,46
,LevelIVDiscovery,7,47
,」,7,48
,の,7,49
,共同,7,50
,開発,7,51
,に,7,52
,向け,7,53
,て,7,54
,、,7,55
,2019,7,56
,年,7,57
,2,7,58
,月,7,59
,15,7,60
,日,7,61
,に,7,62
,業務,7,63
,提携,7,64
,契約,7,65
,を,7,66
,締結,7,67
,し,7,68
,た,7,69
,こと,7,70
,を,7,71
,お知らせ,7,72
,いたし,7,73
,ます,7,74
,。,7,75
,Copyright,7,76
,©,7,77
,AISANTECHNOLOGYCo,7,78
,".,",7,79
,Ltd,7,80
,.,7,81
,AllRightsReserved,7,82
,.,7,83
,年別,7,84
,アーカイブ,7,85
,各位,7,86
,2019,7,87
,年,7,88
,2,7,89
,月,7,90
,15,7,91
,日,7,92
,会社,7,93
,名,7,94
,アイサンテクノロジー,7,95
,株式会社,7,96
,代表,7,97
,者,7,98
,名,7,99
,代表,7,100
,取締役,7,101
,社長,7,102
,加藤,7,103
,淳,7,104
,（,7,105
,JASDAQ,7,106
,コード,7,107
,番号,7,108
,4667,7,109
,）,7,110
,問合せ,7,111
,先,7,112
,執行,7,113
,役員,7,114
,経営,7,115
,管理,7,116
,本部,7,117
,副,7,118
,本部,7,119
,長,7,120
,曽我,7,121
,泰典,7,122
,（,7,123
,Tel,7,124
,052,7,125
,－,7,126
,950,7,127
,－,7,128
,7500,7,129
,）,7,130
,国内,7,131
,全域,7,132
,の,7,133
,自動,7,134
,運転,7,135
,サービス,7,136
,実証,7,137
,向け,7,138
"【 NewsRELEASE 】 2019 年 2 月 13 日 株式会社 メディネット 中国 ハイアールグループ と ヘルスケア 領域 における 業務 提携 に 向け た 本格 協議 実施 の 合意 書 を 締結 各位 当社 は この 度 、 中国 ハイアールグループ 傘下 の Q i n gdaoHaierBiotechHoldingCo ., Ltd .（ 以下 、 「 HBH 」 ） と 、 業務 提携 に 向け た 協議 実施 の 合意 書 を 締結 いたし まし た ので 、 お知らせ いたし ます 。 ハイアールグループ は 、 世界 最大 級 の 家電 ・ 電機 メーカー として 世界 各国 で 事業 を 展開 する のみ なら ず 、 子会社 ・ 関連 会社 を通じて 他 の 事業 領域 において も 多種 多様 な 製品 ・ サービス を 提供 する 中国 有数 の グローバル 企業 です 。 ハイアールグループ は 、 新規 事業 領域 として 再生 ・ 細胞 医療 分野 で の 事業 を 開始 し て おり ます が 、 これ まで 既存 事業 で 構築 し た ",【,8,0
,NewsRELEASE,8,1
,】,8,2
,2019,8,3
,年,8,4
,2,8,5
,月,8,6
,13,8,7
,日,8,8
,株式会社,8,9
,メディネット,8,10
,中国,8,11
,ハイアールグループ,8,12
,と,8,13
,ヘルスケア,8,14
,領域,8,15
,における,8,16
,業務,8,17
,提携,8,18
,に,8,19
,向け,8,20
,た,8,21
,本格,8,22
,協議,8,23
,実施,8,24
,の,8,25
,合意,8,26
,書,8,27
,を,8,28
,締結,8,29
,各位,8,30
,当社,8,31
,は,8,32
,この,8,33
,度,8,34
,、,8,35
,中国,8,36
,ハイアールグループ,8,37
,傘下,8,38
,の,8,39
,Q,8,40
,i,8,41
,n,8,42
,gdaoHaierBiotechHoldingCo,8,43
,".,",8,44
,Ltd,8,45
,.（,8,46
,以下,8,47
,、,8,48
,「,8,49
,HBH,8,50
,」,8,51
,）,8,52
,と,8,53
,、,8,54
,業務,8,55
,提携,8,56
,に,8,57
,向け,8,58
,た,8,59
,協議,8,60
,実施,8,61
,の,8,62
,合意,8,63
,書,8,64
,を,8,65
,締結,8,66
,いたし,8,67
,まし,8,68
,た,8,69
,ので,8,70
,、,8,71
,お知らせ,8,72
,いたし,8,73
,ます,8,74
,。,8,75
,ハイアールグループ,8,76
,は,8,77
,、,8,78
,世界,8,79
,最大,8,80
,級,8,81
,の,8,82
,家電,8,83
,・,8,84
,電機,8,85
,メーカー,8,86
,として,8,87
,世界,8,88
,各国,8,89
,で,8,90
,事業,8,91
,を,8,92
,展開,8,93
,する,8,94
,のみ,8,95
,なら,8,96
,ず,8,97
,、,8,98
,子会社,8,99
,・,8,100
,関連,8,101
,会社,8,102
,を通じて,8,103
,他,8,104
,の,8,105
,事業,8,106
,領域,8,107
,において,8,108
,も,8,109
,多種,8,110
,多様,8,111
,な,8,112
,製品,8,113
,・,8,114
,サービス,8,115
,を,8,116
,提供,8,117
,する,8,118
,中国,8,119
